,precision,recall,f1-score,support
aquarium_fish,0.9438202247191011,0.84,0.888888888888889,100.0
bear,0.5268817204301075,0.49,0.5077720207253886,100.0
bed,0.8666666666666667,0.52,0.65,100.0
beetle,0.8202247191011236,0.73,0.7724867724867724,100.0
bottle,0.925,0.74,0.8222222222222222,100.0
boy,0.5378787878787878,0.71,0.6120689655172413,100.0
bus,0.7532467532467533,0.58,0.655367231638418,100.0
camel,0.74,0.74,0.74,100.0
castle,0.9367088607594937,0.74,0.8268156424581006,100.0
cattle,0.8703703703703703,0.47,0.6103896103896103,100.0
chimpanzee,0.7652173913043478,0.88,0.8186046511627908,100.0
cloud,0.8421052631578947,0.8,0.8205128205128205,100.0
couch,0.6190476190476191,0.65,0.6341463414634146,100.0
crocodile,0.5035460992907801,0.71,0.5892116182572614,100.0
dinosaur,0.6767676767676768,0.67,0.6733668341708543,100.0
elephant,0.7625,0.61,0.6777777777777777,100.0
forest,0.8615384615384616,0.56,0.6787878787878788,100.0
girl,0.6615384615384615,0.43,0.5212121212121211,100.0
house,0.6842105263157895,0.65,0.6666666666666667,100.0
keyboard,0.9714285714285714,0.68,0.8,100.0
lawn_mower,0.8380952380952381,0.88,0.8585365853658538,100.0
lion,0.819047619047619,0.86,0.8390243902439023,100.0
lobster,0.5081967213114754,0.62,0.5585585585585586,100.0
maple_tree,0.8285714285714286,0.87,0.848780487804878,100.0
mountain,0.9125,0.73,0.811111111111111,100.0
mushroom,0.7040816326530612,0.69,0.6969696969696969,100.0
orange,0.8392857142857143,0.94,0.8867924528301886,100.0
otter,0.2375,0.57,0.33529411764705885,100.0
pear,0.8181818181818182,0.72,0.7659574468085107,100.0
pine_tree,0.7849462365591398,0.73,0.7564766839378239,100.0
plate,0.7946428571428571,0.89,0.839622641509434,100.0
porcupine,0.3464566929133858,0.88,0.4971751412429378,100.0
rabbit,0.6129032258064516,0.57,0.5906735751295337,100.0
ray,0.5161290322580645,0.64,0.5714285714285714,100.0
rocket,0.8977272727272727,0.79,0.8404255319148937,100.0
sea,0.9078947368421053,0.69,0.7840909090909091,100.0
shark,0.5555555555555556,0.55,0.5527638190954774,100.0
skunk,0.8762886597938144,0.85,0.8629441624365483,100.0
snail,0.6666666666666666,0.64,0.6530612244897959,100.0
spider,0.79,0.79,0.79,100.0
streetcar,0.577639751552795,0.93,0.7126436781609196,100.0
sweet_pepper,0.9333333333333333,0.42,0.5793103448275863,100.0
tank,0.922077922077922,0.71,0.8022598870056497,100.0
television,0.8941176470588236,0.76,0.8216216216216216,100.0
tractor,0.8,0.8,0.8000000000000002,100.0
trout,0.7788461538461539,0.81,0.7941176470588236,100.0
turtle,0.6172839506172839,0.5,0.5524861878453038,100.0
whale,0.608,0.76,0.6755555555555556,100.0
wolf,0.8705882352941177,0.74,0.7999999999999999,100.0
worm,0.8507462686567164,0.57,0.6826347305389222,100.0
accuracy,0.702,0.702,0.702,0.702
macro avg,0.7475200508882162,0.7020000000000001,0.710532296491366,5000.0
weighted avg,0.7475200508882165,0.702,0.7105322964913658,5000.0
